experiment	strain_type
SRX474158	PA14
SRX474159	PA14
SRX474160	PA14
SRX474161	PA14
SRX474162	PA14
SRX474163	PA14
SRX474164	PA14
SRX1411278	PAO1
SRX1411280	PAO1
SRX1411281	PAO1
SRX1411282	PAO1
SRX1411283	PAO1
SRX1411285	PAO1
SRX1411289	PAO1
SRX1200265	PA14
SRX1127442	PA14
SRX1127443	PA14
SRX1127444	PA14
SRX1127445	PA14
SRX1127446	PA14
SRX1127447	PA14
SRX3142374	PAO1
SRX3142373	PAO1
SRX3142372	PAO1
SRX3142371	PAO1
SRX3142370	PAO1
SRX3142369	PAO1
SRX2962082	PAO1
SRX2962081	PAO1
SRX2962080	PAO1
SRX2962079	PAO1
SRX3679615	PAO1
SRX3679616	PAO1
SRX3679617	PAO1
SRX3679618	PAO1
SRX2662717	PAO1
SRX2662718	PAO1
SRX2662719	PAO1
SRX2662720	PAO1
SRX2662721	PAO1
SRX2662722	PAO1
SRX2662723	PAO1
SRX2662724	PAO1
SRX2662725	PAO1
SRX2662726	PAO1
SRX2662727	PAO1
SRX2662728	PAO1
SRX2652926	PAO1
SRX2652927	PAO1
SRX2652928	PAO1
SRX2652929	PAO1
SRX2652930	PAO1
SRX2652931	PAO1
SRX2652932	PAO1
SRX2652933	PAO1
SRX2652934	PAO1
SRX2652935	PAO1
SRX2652936	PAO1
SRX2652937	PAO1
SRX2669083	PA14
SRX2669084	PA14
SRX2669085	PA14
SRX2669086	PA14
SRX2711962	PAO1
SRX2711963	PAO1
SRX2711964	PAO1
SRX2711965	PAO1
SRX2711966	PAO1
SRX2711967	PAO1
SRX2711974	PAO1
SRX2712087	PAO1
SRX2712091	PAO1
SRX2712093	PAO1
SRX3873877	PA14
SRX3873876	PA14
SRX3873875	PA14
SRX3873874	PA14
SRX3873873	PA14
SRX3873872	PA14
SRX4342822	PAO1
SRX4342821	PAO1
SRX4342820	PAO1
SRX4342819	PAO1
SRX4342818	PAO1
SRX4342817	PAO1
SRX4346419	PAO1
ERX2174773	PA14
ERX2174774	PA14
ERX2174775	PA14
ERX2174776	PA14
ERX2174777	PA14
ERX2174778	PA14
SRX1853292	PAO1
SRX1853532	PAO1
SRX4300141	PA14
SRX4300142	PA14
SRX4300144	PA14
SRX4300145	PA14
SRX4300146	PA14
SRX4300147	PA14
SRX4300148	PA14
SRX4300149	PA14
SRX4300150	PA14
SRX3166073	PAO1
SRX3166072	PAO1
SRX3166071	PAO1
SRX3166070	PAO1
SRX3763717	PAO1
SRX3763716	PAO1
SRX3763715	PAO1
SRX3763714	PAO1
SRX3763713	PAO1
SRX3763712	PAO1
SRX3169722	PAO1
SRX3169723	PAO1
SRX3169724	PAO1
SRX3169725	PAO1
SRX3169726	PAO1
SRX3169728	PAO1
SRX691233	PA14
SRX691234	PA14
SRX3093850	PA14
SRX3093849	PA14
SRX2508647	PAO1
SRX2508648	PAO1
SRX2508649	PAO1
SRX2508650	PAO1
SRX2508651	PAO1
SRX2508652	PAO1
SRX2508653	PAO1
SRX2508654	PAO1
SRX2508655	PAO1
ERX2259197	PAO1
ERX2259198	PAO1
ERX2259199	PAO1
ERX2259200	PAO1
SRX2520351	PAO1
SRX2520352	PAO1
SRX2520353	PAO1
SRX2549304	PA14
SRX2549303	PA14
ERX2300159	PAO1
ERX2300160	PAO1
ERX2300161	PAO1
ERX2300162	PAO1
ERX2300163	PAO1
ERX2300164	PAO1
ERX2300165	PAO1
ERX2300166	PAO1
ERX2300167	PAO1
ERX2300168	PAO1
ERX2300169	PAO1
ERX2300170	PAO1
SRX4326008	PA14
SRX4326007	PA14
SRX4326006	PA14
SRX4326005	PA14
SRX4326003	PA14
SRX2992501	PAO1
SRX4326017	PA14
SRX4326016	PA14
SRX4326015	PA14
SRX4326014	PA14
SRX4326013	PA14
SRX4326012	PA14
SRX4326011	PA14
SRX4326010	PA14
SRX4326009	PA14
SRX4326004	PA14
SRX3789430	PA14
SRX3789421	PA14
SRX3789420	PA14
SRX3789413	PA14
SRX3789411	PA14
SRX3789410	PA14
SRX3789408	PAO1
